Zachos Time delta_18O(Myr BP),Zachos Time delta_18O(0/00),Time delta_18O(Myr BP),Time delta_18O(0/00),Tdo(C),Ts(C),SL(m)
0.002,3.16,0.0016,3.252,1,14.24,-0.2
0.002,2.91,0.0024,3.228,1.06,14.37,0.9
0.004,3.33,0.0032,3.228,1.06,14.37,0.9
0.004,3.16,0.004,3.328,0.89,14.02,-5.7
0.004,3.58,0.0048,3.392,0.79,13.83,-10.3
0.0059,3.66,0.0054,3.32,0.9,14.04,-5.1
0.006,3.23,0.0062,3.334,0.88,14,-6.1
0.007,2.97,0.007,3.36,0.84,13.93,-8
0.008,3.23,0.0078,3.268,0.97,14.2,-1.3
0.008,3.71,0.0086,3.244,1.02,14.28,0.2
0.01,3.2,0.0096,3.52,0.6,13.46,-19.6
0.01,3.11,0.0104,3.604,0.48,13.21,-25.8
0.0118,4.35,0.0112,3.73,0.3,12.84,-34.9
0.012,3.65,0.0118,3.784,0.22,12.68,-38.8
0.012,4.34,0.0128,4.026,-0.14,11.97,-56.4
0.013,3.47,0.0136,4.1,-0.25,11.76,-61.8
0.015,4.32,0.0148,4.384,-0.66,10.92,-82.5
0.016,4.72,0.016,4.48,-0.8,10.64,-89.4
0.0179,5.07,0.017,4.796,-1.27,9.72,-112.4
0.018,4.82,0.0176,4.872,-1.38,9.49,-118
0.018,5.05,0.0184,4.922,-1.45,9.35,-121.6
0.018,4.7,0.0188,4.85,-1.35,9.56,-116.4
0.02,4.97,0.0195,4.884,-1.4,9.46,-118.8
0.02,4.71,0.0205,4.758,-1.21,9.83,-109.7
0.0214,4.99,0.0217,4.804,-1.28,9.69,-113
0.023,4.42,0.0225,4.734,-1.18,9.9,-107.9
0.024,4.93,0.0237,4.756,-1.21,9.83,-109.5
0.024,4.62,0.0248,4.712,-1.14,9.96,-106.3
0.026,4.82,0.0258,4.72,-1.16,9.94,-106.9
0.027,4.77,0.0266,4.652,-1.06,10.14,-102
0.028,4.46,0.0278,4.588,-0.96,10.33,-97.3
0.028,4.59,0.0287,4.554,-0.91,10.43,-94.8
0.03,4.3,0.0297,4.504,-0.84,10.57,-91.2
0.0305,4.65,0.0307,4.52,-0.86,10.52,-92.4
0.032,4.52,0.0317,4.458,-0.77,10.71,-87.8
0.033,4.54,0.0324,4.558,-0.92,10.41,-95.1
0.033,4.28,0.0335,4.524,-0.87,10.51,-92.7
0.0335,4.8,0.0343,4.554,-0.91,10.43,-94.8
0.036,4.48,0.0351,4.482,-0.81,10.64,-89.6
0.0361,4.67,0.0363,4.544,-0.9,10.45,-94.1
0.037,4.18,0.0376,4.454,-0.77,10.72,-87.6
0.0388,4.59,0.0384,4.472,-0.79,10.67,-88.9
0.04,4.35,0.0394,4.414,-0.71,10.84,-84.7
0.04,4.57,0.0404,4.418,-0.71,10.82,-84.9
0.041,4.38,0.0411,4.406,-0.7,10.86,-84.1
0.042,4.2,0.0419,4.452,-0.76,10.72,-87.4
0.0423,4.53,0.043,4.428,-0.73,10.79,-85.7
0.044,4.58,0.0442,4.406,-0.7,10.86,-84.1
0.0457,4.45,0.0454,4.392,-0.67,10.9,-83.1
0.047,4.27,0.0465,4.382,-0.66,10.93,-82.3
0.048,4.13,0.0475,4.382,-0.66,10.93,-82.3
0.048,4.48,0.0483,4.378,-0.65,10.94,-82
0.0486,4.58,0.0491,4.414,-0.71,10.84,-84.7
0.05,4.43,0.0499,4.472,-0.79,10.67,-88.9
0.0507,4.45,0.0507,4.362,-0.63,10.99,-80.9
0.052,4.42,0.0513,4.338,-0.6,11.06,-79.1
0.052,3.93,0.0519,4.29,-0.53,11.2,-75.6
0.052,4.46,0.0528,4.206,-0.4,11.45,-69.5
0.0529,4.19,0.0534,4.168,-0.35,11.56,-66.8
0.055,4.03,0.0542,4.276,-0.5,11.24,-74.6
0.0551,4.23,0.0552,4.294,-0.53,11.19,-75.9
0.056,4.47,0.056,4.226,-0.43,11.39,-71
0.0569,4.55,0.057,4.328,-0.58,11.09,-78.4
0.057,3.85,0.0581,4.414,-0.71,10.84,-84.7
0.06,4.54,0.0591,4.358,-0.63,11,-80.6
0.0607,4.66,0.0605,4.318,-0.57,11.12,-77.7
0.061,4.19,0.0619,4.386,-0.67,10.92,-82.6
0.064,4.35,0.0627,4.384,-0.66,10.92,-82.5
0.064,4.19,0.0635,4.326,-0.58,11.09,-78.3
0.064,4.53,0.0643,4.44,-0.75,10.76,-86.6
0.0645,4.37,0.0651,4.448,-0.76,10.74,-87.1
0.065,4.76,0.0661,4.436,-0.74,10.77,-86.3
0.068,4.39,0.0674,4.322,-0.57,11.11,-78
0.069,4.13,0.0689,4.24,-0.45,11.35,-72
0.0705,3.96,0.0703,4.128,-0.29,11.67,-63.8
0.072,3.96,0.0715,4.048,-0.17,11.91,-58
0.072,4.2,0.0729,4.052,-0.18,11.9,-58.3
0.0741,3.99,0.074,4.088,-0.23,11.79,-61
0.076,4.15,0.075,4.074,-0.21,11.83,-59.9
0.076,4.14,0.0766,3.988,-0.08,12.09,-53.7
0.077,3.89,0.0778,3.912,0.03,12.31,-48.2
0.0799,3.77,0.0786,3.784,0.22,12.68,-38.8
0.08,3.61,0.0794,3.766,0.24,12.74,-37.5
0.08,3.51,0.0806,3.796,0.2,12.65,-39.7
0.08,4.05,0.0812,3.78,0.22,12.7,-38.5
0.0829,4.04,0.082,3.838,0.14,12.53,-42.8
0.083,3.69,0.0832,3.994,-0.09,12.07,-54.1
0.084,3.9,0.0846,3.958,-0.04,12.17,-51.5
0.086,4.29,0.0856,3.918,0.02,12.29,-48.6
0.087,3.87,0.0868,3.964,-0.05,12.16,-51.9
0.088,3.84,0.0879,3.998,-0.1,12.06,-54.4
0.089,3.92,0.0887,3.99,-0.09,12.08,-53.8
0.0894,4.07,0.0895,3.938,-0.01,12.23,-50
0.09,4.25,0.0903,3.95,-0.03,12.2,-50.9
0.091,3.61,0.0911,3.97,-0.06,12.14,-52.4
0.092,3.9,0.0922,3.892,0.06,12.37,-46.7
0.0929,4.02,0.0932,3.726,0.3,12.85,-34.6
0.095,3.68,0.0942,3.794,0.2,12.65,-39.6
0.095,3.42,0.0951,3.776,0.23,12.71,-38.3
0.096,3.95,0.0961,3.716,0.32,12.88,-33.9
0.0967,3.81,0.0969,3.728,0.3,12.85,-34.8
0.098,3.72,0.0979,3.822,0.16,12.57,-41.6
0.099,3.74,0.0988,3.756,0.26,12.77,-36.8
0.1,3.89,0.0997,3.764,0.25,12.74,-37.4
0.1004,3.62,0.1009,3.728,0.3,12.85,-34.8
0.101,3.85,0.1019,3.674,0.38,13.01,-30.8
0.104,3.54,0.1027,3.656,0.4,13.06,-29.5
0.104,3.47,0.1038,3.726,0.3,12.85,-34.6
0.104,3.8,0.1052,3.708,0.33,12.91,-33.3
0.1062,3.97,0.1062,3.77,0.24,12.72,-37.8
0.108,3.76,0.1072,3.838,0.14,12.53,-42.8
0.109,3.85,0.1088,3.878,0.08,12.41,-45.7
0.109,3.81,0.11,3.82,0.16,12.58,-41.5
0.112,4,0.111,3.842,0.13,12.51,-43
0.112,3.68,0.112,3.728,0.3,12.85,-34.8
0.113,3.87,0.113,3.656,0.4,13.06,-29.5
0.114,3.28,0.1137,3.594,0.5,13.24,-25
0.114,3.45,0.1145,3.544,0.57,13.39,-21.4
0.1155,3.69,0.1155,3.62,0.46,13.16,-26.9
0.116,3.43,0.1165,3.688,0.36,12.97,-31.9
0.118,4.25,0.1175,3.542,0.57,13.39,-21.2
0.1188,3.62,0.1184,3.448,0.71,13.67,-14.4
0.119,2.72,0.1192,3.412,0.76,13.77,-11.8
0.12,3.22,0.1199,3.2,1.13,14.52,2
0.12,3.25,0.1205,3.014,1.63,15.51,9.4
0.1217,3.19,0.1215,3.13,1.32,14.89,4.8
0.122,2.69,0.1224,3.096,1.41,15.07,6.2
0.124,3.3,0.1236,3.004,1.66,15.56,9.8
0.1244,3.05,0.1245,3.246,1.01,14.27,0.2
0.126,2.79,0.1255,3.476,0.67,13.59,-16.4
0.126,4.4,0.1263,3.572,0.53,13.31,-23.4
0.1269,3.84,0.1276,3.7,0.34,12.93,-32.7
0.128,3.78,0.1286,4.07,-0.2,11.84,-59.6
0.131,3.69,0.1298,4.076,-0.21,11.83,-60.1
0.1312,4.64,0.131,4.208,-0.41,11.44,-69.7
0.132,4.43,0.1324,4.45,-0.76,10.73,-87.3
0.133,4.5,0.1334,4.704,-1.13,9.98,-105.8
0.135,4.99,0.1344,4.73,-1.17,9.91,-107.6
0.136,4.96,0.1354,4.748,-1.2,9.86,-108.9
0.136,4.77,0.1368,4.826,-1.31,9.63,-114.6
0.137,4.52,0.1378,4.744,-1.19,9.87,-108.7
0.14,4.89,0.1386,4.71,-1.14,9.97,-106.2
0.14,4.58,0.1396,4.716,-1.15,9.95,-106.6
0.14,4.79,0.1404,4.722,-1.16,9.93,-107.1
0.141,4.8,0.141,4.654,-1.06,10.13,-102.1
0.141,4.55,0.1418,4.65,-1.05,10.14,-101.8
0.143,4.55,0.1426,4.64,-1.04,10.17,-101.1
0.144,4.56,0.1433,4.666,-1.08,10.1,-103
0.144,4.74,0.1441,4.614,-1,10.25,-99.2
0.1447,4.93,0.1449,4.698,-1.12,10,-105.3
0.145,4.29,0.1457,4.722,-1.16,9.93,-107.1
0.1466,4.97,0.1465,4.704,-1.13,9.98,-105.8
0.148,4.68,0.1472,4.684,-1.1,10.04,-104.3
0.148,4.65,0.148,4.84,-1.33,9.59,-115.6
0.1482,4.83,0.1486,4.794,-1.26,9.72,-112.3
0.149,5.07,0.1492,4.718,-1.15,9.94,-106.8
0.1498,4.74,0.15,4.704,-1.13,9.98,-105.8
0.151,4.3,0.1508,4.654,-1.06,10.13,-102.1
0.152,4.58,0.1516,4.596,-0.97,10.3,-97.9
0.1521,4.58,0.1526,4.566,-0.93,10.39,-95.7
0.153,4.78,0.1536,4.518,-0.86,10.53,-92.2
0.1548,4.59,0.1544,4.528,-0.87,10.5,-92.9
0.156,4.06,0.1554,4.512,-0.85,10.55,-91.8
0.156,4.63,0.1563,4.476,-0.8,10.65,-89.2
0.157,4.5,0.1573,4.482,-0.81,10.64,-89.6
0.1575,4.6,0.1581,4.546,-0.9,10.45,-94.3
0.16,4.62,0.1591,4.574,-0.94,10.37,-96.3
0.1602,4.38,0.1599,4.54,-0.89,10.47,-93.8
0.161,4.77,0.161,4.49,-0.82,10.61,-90.2
0.161,4.33,0.1618,4.452,-0.76,10.72,-87.4
0.163,4.35,0.1629,4.436,-0.74,10.77,-86.3
0.164,4.43,0.1639,4.32,-0.57,11.11,-77.8
0.1655,4.3,0.1651,4.36,-0.63,10.99,-80.7
0.166,4.19,0.166,4.362,-0.63,10.99,-80.9
0.167,4.53,0.1668,4.33,-0.58,11.08,-78.6
0.1677,4.36,0.1677,4.37,-0.64,10.96,-81.4
0.168,4.27,0.1687,4.354,-0.62,11.01,-80.3
0.1698,4.5,0.1695,4.254,-0.47,11.31,-73
0.171,4.11,0.1704,4.266,-0.49,11.27,-73.9
0.171,4.03,0.1712,4.262,-0.48,11.28,-73.6
0.172,4.42,0.172,4.266,-0.49,11.27,-73.9
0.172,4.25,0.173,4.284,-0.52,11.22,-75.2
0.1741,4.52,0.174,4.3,-0.54,11.17,-76.4
0.176,4.2,0.1748,4.274,-0.5,11.25,-74.5
0.176,4.11,0.1757,4.346,-0.61,11.03,-79.7
0.176,4.29,0.1769,4.31,-0.55,11.14,-77.1
0.1763,4.61,0.1778,4.336,-0.59,11.06,-79
0.18,4.34,0.1788,4.342,-0.6,11.05,-79.4
0.1808,4.33,0.1802,4.384,-0.66,10.92,-82.5
0.181,4.14,0.1818,4.316,-0.56,11.12,-77.5
0.183,4.5,0.183,4.336,-0.59,11.06,-79
0.184,4.27,0.184,4.258,-0.48,11.29,-73.3
0.186,4.44,0.1853,4.242,-0.45,11.34,-72.2
0.186,3.94,0.1863,4.15,-0.32,11.61,-65.4
0.1873,4.06,0.1873,4.02,-0.13,11.99,-56
0.188,4.04,0.1881,3.818,0.17,12.58,-41.3
0.189,3.62,0.1891,3.82,0.16,12.58,-41.5
0.19,3.43,0.19,3.776,0.23,12.71,-38.3
0.191,3.95,0.1912,3.714,0.32,12.89,-33.8
0.192,3.84,0.1922,3.564,0.54,13.33,-22.8
0.1938,3.73,0.1932,3.564,0.54,13.33,-22.8
0.194,2.87,0.1941,3.47,0.68,13.6,-16
0.195,3.43,0.1949,3.444,0.72,13.68,-14.1
0.1955,3.48,0.1955,3.436,0.73,13.7,-13.5
0.196,3.71,0.1965,3.54,0.57,13.4,-21.1
0.1969,3.69,0.1974,3.614,0.47,13.18,-26.5
0.199,3.39,0.1983,3.598,0.49,13.23,-25.3
0.1996,3.8,0.1991,3.596,0.49,13.23,-25.2
0.2,3.4,0.2001,3.498,0.64,13.52,-18
0.2,3.7,0.2008,3.546,0.57,13.38,-21.5
0.202,3.2,0.2017,3.542,0.57,13.39,-21.2
0.2024,3.63,0.2027,3.538,0.58,13.41,-21
0.204,3.78,0.2037,3.508,0.62,13.49,-18.8
0.205,3.38,0.2049,3.58,0.52,13.28,-24
0.2051,3.55,0.206,3.602,0.48,13.22,-25.6
0.2079,3.56,0.2075,3.568,0.53,13.32,-23.1
0.208,3.74,0.2089,3.626,0.45,13.15,-27.4
0.2115,3.61,0.2107,3.598,0.49,13.23,-25.3
0.212,3.67,0.2123,3.644,0.42,13.09,-28.6
0.214,3.41,0.2139,3.602,0.48,13.22,-25.6
0.216,3.79,0.215,3.592,0.5,13.25,-24.9
0.2161,3.53,0.2164,3.57,0.53,13.31,-23.3
0.217,3.56,0.2176,3.604,0.48,13.21,-25.8
0.219,3.56,0.2184,3.638,0.43,13.11,-28.2
0.22,3.58,0.2192,3.728,0.3,12.85,-34.8
0.22,3.96,0.2202,3.856,0.11,12.47,-44.1
0.22,3.98,0.2209,4.078,-0.21,11.82,-60.2
0.222,4.2,0.2217,4.192,-0.38,11.49,-68.5
0.2223,4.67,0.2225,4.216,-0.42,11.42,-70.3
0.224,4.15,0.2235,4.364,-0.63,10.98,-81
0.224,4.08,0.2242,4.39,-0.67,10.91,-82.9
0.225,4.72,0.2253,4.284,-0.52,11.22,-75.2
0.2256,4.33,0.2261,4.284,-0.52,11.22,-75.2
0.228,4.14,0.2271,4.266,-0.49,11.27,-73.9
0.228,4.15,0.2279,4.124,-0.28,11.69,-63.6
0.2289,3.99,0.2292,3.928,0.01,12.26,-49.3
0.229,4.01,0.23,3.918,0.02,12.29,-48.6
0.232,3.35,0.2308,3.944,-0.02,12.21,-50.5
0.232,4.09,0.232,4.026,-0.14,11.97,-56.4
0.2321,4.28,0.2333,3.952,-0.03,12.19,-51
0.235,4.4,0.2341,3.966,-0.05,12.15,-52.1
0.2354,3.64,0.2349,3.93,0,12.26,-49.5
0.236,3.42,0.2361,3.8,0.19,12.64,-40
0.236,3.91,0.2368,3.61,0.47,13.19,-26.2
0.238,3.63,0.2377,3.518,0.61,13.46,-19.5
0.2387,3.45,0.2385,3.586,0.51,13.26,-24.4
0.24,3.18,0.2397,3.484,0.66,13.56,-17
0.24,3.76,0.2407,3.54,0.57,13.4,-21.1
0.242,3.4,0.2415,3.578,0.52,13.29,-23.9
0.2427,3.91,0.2423,3.746,0.27,12.8,-36.1
0.243,3.64,0.2431,3.786,0.21,12.68,-39
0.244,4.02,0.2438,3.986,-0.08,12.09,-53.5
0.244,3.96,0.2447,4.144,-0.31,11.63,-65
0.2451,4.4,0.2457,4.288,-0.52,11.21,-75.5
0.2473,4.7,0.2465,4.358,-0.63,11,-80.6
0.248,4.36,0.2473,4.416,-0.71,10.83,-84.8
0.248,4.37,0.2481,4.476,-0.8,10.65,-89.2
0.248,4.25,0.249,4.464,-0.78,10.69,-88.3
0.2493,4.7,0.2498,4.506,-0.84,10.57,-91.3
0.2515,4.64,0.2506,4.494,-0.82,10.6,-90.5
0.252,4.57,0.2514,4.506,-0.84,10.57,-91.3
0.252,4.31,0.2522,4.454,-0.77,10.72,-87.6
0.252,4.31,0.2529,4.46,-0.77,10.7,-88
0.2535,4.44,0.2536,4.422,-0.72,10.81,-85.2
0.255,4.67,0.2544,4.4,-0.69,10.88,-83.6
0.2557,4.38,0.2552,4.404,-0.69,10.86,-83.9
0.256,4.2,0.2561,4.41,-0.7,10.85,-84.4
0.256,4.33,0.2569,4.326,-0.58,11.09,-78.3
0.2576,4.47,0.2577,4.274,-0.5,11.25,-74.5
0.259,4.25,0.2585,4.316,-0.56,11.12,-77.5
0.2599,4.12,0.2593,4.322,-0.57,11.11,-78
0.26,4.41,0.2602,4.306,-0.55,11.15,-76.8
0.26,4.36,0.2609,4.166,-0.34,11.56,-66.6
0.2619,4.39,0.2615,4.174,-0.36,11.54,-67.2
0.2627,3.55,0.2623,4.252,-0.47,11.31,-72.9
0.263,4.16,0.2631,4.256,-0.48,11.3,-73.2
0.264,4.8,0.2638,4.206,-0.4,11.45,-69.5
0.264,4.38,0.2644,4.42,-0.72,10.82,-85.1
0.2651,4.14,0.2652,4.474,-0.8,10.66,-89
0.266,4.62,0.2658,4.372,-0.65,10.96,-81.6
0.2669,4.43,0.2666,4.384,-0.66,10.92,-82.5
0.267,4.29,0.2675,4.414,-0.71,10.84,-84.7
0.268,4.44,0.2683,4.378,-0.65,10.94,-82
0.2697,4.29,0.2693,4.414,-0.71,10.84,-84.7
0.27,4.44,0.2703,4.444,-0.75,10.75,-86.8
0.272,4.61,0.2712,4.362,-0.63,10.99,-80.9
0.272,4.44,0.2719,4.288,-0.52,11.21,-75.5
0.2724,4.03,0.2729,4.172,-0.35,11.55,-67.1
0.273,3.92,0.2737,4.136,-0.3,11.65,-64.4
0.2752,3.86,0.2745,4.11,-0.26,11.73,-62.5
0.276,4.43,0.2756,4.074,-0.21,11.83,-59.9
0.276,4.31,0.2766,4.012,-0.12,12.01,-55.4
0.2779,3.85,0.2776,4.056,-0.18,11.89,-58.6
0.278,3.61,0.2789,3.968,-0.05,12.14,-52.2
0.28,4.08,0.2803,3.926,0.01,12.27,-49.2
0.2825,3.99,0.2815,3.872,0.09,12.43,-45.2
0.283,4.1,0.2827,3.94,-0.01,12.23,-50.2
0.284,3.58,0.2841,3.87,0.09,12.43,-45.1
0.284,3.95,0.285,3.916,0.02,12.3,-48.4
0.287,3.73,0.286,3.888,0.06,12.38,-46.4
0.2872,4.22,0.2872,3.866,0.1,12.44,-44.8
0.288,3.96,0.2886,3.842,0.13,12.51,-43
0.29,3.47,0.2896,3.912,0.03,12.31,-48.2
0.291,3.83,0.291,3.938,-0.01,12.23,-50
0.292,4.08,0.2922,3.996,-0.09,12.06,-54.3
0.294,4.35,0.2934,4.11,-0.26,11.73,-62.5
0.2941,4.25,0.2944,4.162,-0.34,11.57,-66.3
0.296,4.04,0.2953,4.184,-0.37,11.51,-67.9
0.296,4.09,0.2963,4.236,-0.45,11.36,-71.7
0.2965,4.19,0.2975,4.268,-0.49,11.26,-74
0.299,4.61,0.2983,4.276,-0.5,11.24,-74.6
0.3,4.41,0.2995,4.238,-0.45,11.35,-71.8
0.3,4.08,0.3008,4.27,-0.5,11.26,-74.2
0.3018,3.9,0.3018,4.166,-0.34,11.56,-66.6
0.303,4.35,0.3028,4.05,-0.17,11.9,-58.2
0.304,4.09,0.3039,4.01,-0.11,12.02,-55.3
0.305,3.83,0.3052,3.964,-0.05,12.16,-51.9
0.3059,3.88,0.3062,3.882,0.07,12.4,-46
0.308,3.67,0.3075,3.778,0.23,12.7,-38.4
0.308,3.94,0.3089,3.67,0.38,13.02,-30.5
0.3105,3.57,0.3101,3.644,0.42,13.09,-28.6
0.312,3.29,0.3115,3.612,0.47,13.19,-26.3
0.312,3.75,0.3131,3.632,0.44,13.13,-27.8
0.3152,3.51,0.3142,3.666,0.39,13.03,-30.3
0.316,4.04,0.3154,3.728,0.3,12.85,-34.8
0.316,3.74,0.317,3.596,0.49,13.23,-25.2
0.318,3.6,0.318,3.73,0.3,12.84,-34.9
0.3199,3.09,0.3188,3.662,0.4,13.04,-30
0.32,4.18,0.32,3.564,0.54,13.33,-22.8
0.32,3.7,0.3212,3.556,0.55,13.35,-22.3
0.322,3.25,0.3221,3.524,0.6,13.45,-19.9
0.324,3.56,0.3231,3.298,0.93,14.11,-3.5
0.3245,2.93,0.3245,3.274,0.96,14.18,-1.8
0.325,3.05,0.3257,3.302,0.92,14.1,-3.8
0.327,3.58,0.3267,3.238,1.03,14.31,0.5
0.328,3.39,0.328,3.31,0.91,14.07,-4.4
0.3292,3.24,0.3294,3.382,0.81,13.86,-9.6
0.331,3.29,0.3306,3.328,0.89,14.02,-5.7
0.332,3.41,0.3318,3.356,0.84,13.94,-7.7
0.333,3.31,0.333,3.472,0.67,13.6,-16.1
0.3338,3.53,0.334,3.568,0.53,13.32,-23.1
0.335,3.82,0.3353,3.648,0.42,13.08,-29
0.336,3.77,0.3367,3.8,0.19,12.64,-40
0.3387,3.81,0.3379,3.942,-0.01,12.22,-50.3
0.34,4.07,0.339,4.132,-0.29,11.66,-64.2
0.34,4.24,0.34,4.284,-0.52,11.22,-75.2
0.3405,4.77,0.3409,4.492,-0.82,10.61,-90.3
0.341,4.53,0.3417,4.406,-0.7,10.86,-84.1
0.343,4.85,0.3425,4.47,-0.79,10.67,-88.7
0.344,3.64,0.3432,4.42,-0.72,10.82,-85.1
0.344,4.56,0.3442,4.472,-0.79,10.67,-88.9
0.3442,4.52,0.345,4.382,-0.66,10.93,-82.3
0.346,4.79,0.3458,4.574,-0.94,10.37,-96.3
0.347,4.4,0.3468,4.56,-0.92,10.41,-95.3
0.348,4.6,0.3478,4.484,-0.81,10.63,-89.8
0.349,4.49,0.3487,4.468,-0.79,10.68,-88.6
0.349,4.14,0.3497,4.478,-0.8,10.65,-89.3
0.3503,4.71,0.3507,4.516,-0.86,10.54,-92.1
0.352,4.45,0.3515,4.484,-0.81,10.63,-89.8
0.353,4.79,0.3524,4.53,-0.88,10.5,-93.1
0.353,4.33,0.3533,4.438,-0.74,10.77,-86.4
0.3536,4.37,0.3541,4.492,-0.82,10.61,-90.3
0.355,4.25,0.3547,4.38,-0.66,10.94,-82.2
0.356,4.72,0.3553,4.394,-0.68,10.89,-83.2
0.356,4.23,0.356,4.344,-0.6,11.04,-79.6
0.356,4.4,0.3564,4.416,-0.71,10.83,-84.8
0.3569,4.12,0.3572,4.292,-0.53,11.19,-75.8
0.357,4.61,0.358,4.268,-0.49,11.26,-74
0.36,4.1,0.3588,4.256,-0.48,11.3,-73.2
0.36,4.11,0.3594,4.32,-0.57,11.11,-77.8
0.36,4.34,0.3604,4.268,-0.49,11.26,-74
0.3602,4.44,0.361,4.224,-0.43,11.39,-70.8
0.362,4.35,0.3618,4.244,-0.46,11.33,-72.3
0.363,3.88,0.3628,4.194,-0.38,11.48,-68.7
0.364,4.21,0.3638,4.184,-0.37,11.51,-67.9
0.365,4.09,0.3646,4.206,-0.4,11.45,-69.5
0.365,4.39,0.3652,4.244,-0.46,11.33,-72.3
0.366,4.46,0.3658,4.28,-0.51,11.23,-74.9
0.366,4.07,0.3664,4.248,-0.46,11.32,-72.6
0.3668,4.39,0.367,4.194,-0.38,11.48,-68.7
0.368,3.93,0.3675,4.156,-0.33,11.59,-65.9
0.368,4.12,0.3686,4.21,-0.41,11.43,-69.8
0.3685,4.27,0.3696,4.138,-0.3,11.65,-64.6
0.3716,4.34,0.3704,4.168,-0.35,11.56,-66.8
0.372,4.03,0.3715,4.188,-0.38,11.5,-68.2
0.372,4.08,0.3728,4.162,-0.34,11.57,-66.3
0.3733,4.22,0.3737,4.104,-0.25,11.74,-62.1
0.375,4.14,0.3747,4.148,-0.32,11.62,-65.3
0.376,4.05,0.3759,4.138,-0.3,11.65,-64.6
0.3771,4.25,0.3772,4.134,-0.3,11.66,-64.3
0.378,4.03,0.3782,4.11,-0.26,11.73,-62.5
0.3799,4.2,0.3794,4.098,-0.24,11.76,-61.7
0.38,4.02,0.3806,4.04,-0.16,11.93,-57.5
0.382,3.99,0.3818,4.018,-0.13,12,-55.8
0.3832,3.96,0.3826,3.982,-0.07,12.1,-53.2
0.384,3.92,0.3839,3.954,-0.03,12.19,-51.2
0.384,4.02,0.3851,3.95,-0.03,12.2,-50.9
0.3865,3.88,0.3863,3.928,0.01,12.26,-49.3
0.388,3.97,0.3873,3.84,0.13,12.52,-42.9
0.389,3.85,0.3885,3.792,0.21,12.66,-39.4
0.389,3.48,0.3896,3.784,0.22,12.68,-38.8
0.3898,3.78,0.3906,3.738,0.28,12.82,-35.5
0.392,3.84,0.3918,3.676,0.38,13,-31
0.3931,3.74,0.3932,3.662,0.4,13.04,-30
0.395,3.54,0.3945,3.618,0.46,13.17,-26.8
0.396,3.41,0.3957,3.532,0.59,13.42,-20.5
0.3964,3.56,0.3967,3.516,0.61,13.47,-19.4
0.3979,3.41,0.3974,3.466,0.68,13.62,-15.7
0.398,3.66,0.3982,3.422,0.75,13.75,-12.5
0.3987,3.29,0.3991,3.318,0.9,14.05,-4.9
0.4,3.19,0.3997,3.284,0.95,14.15,-2.5
0.4009,3.04,0.4005,3.114,1.36,14.98,5.4
0.401,3.24,0.4014,3.092,1.42,15.09,6.3
0.4017,2.81,0.4022,3.084,1.44,15.14,6.6
0.4033,3.18,0.4029,3.142,1.29,14.83,4.3
0.404,3.15,0.4037,3.072,1.47,15.2,7.1
0.4046,3.33,0.4046,3.138,1.3,14.85,4.5
0.405,2.89,0.4051,3.236,1.04,14.32,0.6
0.406,3.14,0.4058,3.334,0.88,14,-6.1
0.406,3.67,0.4065,3.318,0.9,14.05,-4.9
0.4075,3.64,0.4073,3.466,0.68,13.62,-15.7
0.408,3.25,0.4081,3.506,0.62,13.5,-18.6
0.409,3.63,0.4089,3.44,0.72,13.69,-13.8
0.41,3.34,0.4095,3.474,0.67,13.59,-16.3
0.41,3.34,0.4103,3.444,0.72,13.68,-14.1
0.4106,3.81,0.4109,3.388,0.8,13.85,-10
0.412,3.1,0.4114,3.674,0.38,13.01,-30.8
0.412,3.35,0.412,3.654,0.41,13.06,-29.4
0.4125,4.77,0.4131,3.582,0.51,13.28,-24.1
0.413,3.24,0.4139,3.91,0.03,12.31,-48
0.416,3.45,0.4151,4.204,-0.4,11.45,-69.4
0.4162,4.74,0.4162,3.856,0.11,12.47,-44.1
0.4179,4.82,0.4174,3.982,-0.07,12.1,-53.2
0.418,3.03,0.4182,4.284,-0.52,11.22,-75.2
0.419,3.87,0.4189,4.228,-0.43,11.38,-71.1
0.4198,4.96,0.4194,3.974,-0.06,12.13,-52.7
0.42,4.46,0.4204,4.062,-0.19,11.87,-59
0.42,3.55,0.4212,4.012,-0.12,12.01,-55.4
0.423,3.47,0.422,3.846,0.13,12.5,-43.3
0.423,3.62,0.423,3.7,0.34,12.93,-32.7
0.424,4.13,0.4242,3.966,-0.05,12.15,-52.1
0.425,3.73,0.425,4.212,-0.41,11.43,-70
0.426,4.88,0.426,4.418,-0.71,10.82,-84.9
0.4271,4.7,0.4268,4.55,-0.91,10.44,-94.6
0.428,4.65,0.4278,4.716,-1.15,9.95,-106.6
0.428,4.79,0.4288,4.674,-1.09,10.07,-103.6
0.43,4.56,0.4296,4.624,-1.02,10.22,-99.9
0.431,4.67,0.4304,4.73,-1.17,9.91,-107.6
0.4312,4.45,0.4312,4.744,-1.19,9.87,-108.7
0.432,5.18,0.4321,4.784,-1.25,9.75,-111.6
0.432,4.86,0.4331,4.892,-1.41,9.43,-119.4
0.4344,4.76,0.4341,4.916,-1.44,9.36,-121.2
0.436,5.21,0.4349,4.86,-1.36,9.53,-117.1
0.436,4.57,0.4361,4.824,-1.31,9.63,-114.5
0.436,4.9,0.4372,4.882,-1.39,9.46,-118.7
0.438,4.68,0.438,4.818,-1.3,9.65,-114
